Visit #,Ship,Ship Type,Move Type,Move Status,Move Start,From Location,To Location,Agency,Last Port,Next Port
20231178,APL VANCOUVER,CONTAINER SHIP,Departure,Planned,9/15/23 6:00,Container Terminal 2,SEA,Inchcape Shipping Services,Adelaide,Singapore
20230308,PERSEVERANCE V,TANKER - LIQUEFIED GAS,Departure,Planned,9/15/23 6:00,No. 2 Kwin Bulk Berth,SEA,Indian Ocean Shipping Agencies,Port Bonython,To Be Advised
20230432,LAUSANNE,BULK CARRIER,Arrival,Planned,9/15/23 6:01,SEA,No. 2 Kwin Bulk Berth,Indian Ocean Shipping Agencies,To Be Advised,To Be Advised
20231171,GRACE C,BULK CARRIER,Departure,Planned,9/15/23 11:00,No. 1 Alcoa,SEA,Monson Agencies Australia.,Bunbury,Port Klang
20231169,FRONT CHEETAH,TANKER,Departure,Planned,9/15/23 12:00,No. 3 O.R.J.,SEA,Inchcape Shipping Services,India - Other,Singapore
20230297,DAIWAN GLORY,BULK CARRIER,Removal,Planned,9/15/23 12:00,Gage Roads,No. 2 Kwin Bulk Berth,Quay Marine Agencies P/L,Japan - other,WA Ports - other
20231168,ISLAND EXPRESS,TANKER,Departure,Planned,9/15/23 18:00,No. 1 O.R.J.,SEA,Inchcape Shipping Services,Yangpu,Singapore
20220823,SVITZER NAIAD,TUG,Departure,Planned,9/16/23 7:00,BAE North Wet Berth,SEA,Quay Trade Logistics Pty Ltd,Bunbury,Bunbury
20231162,ARC COMMITMENT,VEHICLES CARRIER,Arrival,Planned,9/16/23 21:45,SEA,No. 12 NQ,Wilhelmsen Ships Service,Melbourne,Dalian
20231186,VIKING CORAL,VEHICLES CARRIER,Arrival,Planned,9/16/23 22:00,SEA,H Berth,Monson Agencies Australia.,Hiroshima,Darwin
20231025,PROGRESS C,CONTAINER SHIP,Departure,Planned,9/16/23 22:00,Container Terminal 1,SEA,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Singapore
20231182,DALIAN,CONTAINER SHIP,Departure,Planned,9/16/23 23:00,Container Terminal 4,SEA,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Tanjung Pelapas
20231180,HSL CHICAGO,BULK CARRIER,Removal,Planned,9/17/23 5:00,Oil Refinery North Anchorage,Kwinana Grain Jetty,Monson Agencies Australia.,Singapore,Subic Bay
20231186,VIKING CORAL,VEHICLES CARRIER,Departure,Planned,9/17/23 23:00,H Berth,SEA,Monson Agencies Australia.,Hiroshima,Darwin
20231162,ARC COMMITMENT,VEHICLES CARRIER,Departure,Planned,9/18/23 2:00,No. 12 NQ,SEA,Wilhelmsen Ships Service,Melbourne,Dalian
20230321,ILEKTRA,BULK CARRIER,Arrival,Planned,9/18/23 12:00,SEA,Gage Roads,Quay Marine Agencies P/L,Cape Cuvier,WA Ports - other
20230432,LAUSANNE,BULK CARRIER,Departure,Planned,9/18/23 12:01,No. 2 Kwin Bulk Berth,SEA,Indian Ocean Shipping Agencies,To Be Advised,To Be Advised
20231180,HSL CHICAGO,BULK CARRIER,Removal,Planned,9/18/23 23:00,Kwinana Grain Jetty,Oil Refinery North Anchorage,Monson Agencies Australia.,Singapore,Subic Bay
20231181,KARIYUSHI LEADER,VEHICLES CARRIER,Arrival,Planned,9/18/23 23:01,SEA,H Berth,Monson Agencies Australia.,Adelaide,Laem Chabang
20231180,HSL CHICAGO,BULK CARRIER,Departure,Planned,9/19/23 10:00,Oil Refinery North Anchorage,SEA,Monson Agencies Australia.,Singapore,Subic Bay
20231116,ASC LOTTI,GENERAL CARGO,Departure,Planned,9/19/23 23:00,No. 11 NQ,SEA,Asiaworld Shipping Services,Batam,Cocos Island
20231181,KARIYUSHI LEADER,VEHICLES CARRIER,Departure,Planned,9/21/2023,H Berth,SEA,Monson Agencies Australia.,Adelaide,Laem Chabang
20230297,DAIWAN GLORY,BULK CARRIER,Departure,Planned,9/21/23 12:00,No. 2 Kwin Bulk Berth,SEA,Quay Marine Agencies P/L,Japan - other,WA Ports - other
20221382,NAFANUA III,PATROL VESSEL,Departure,Planned,9/21/23 15:01,AUSTAL Fit out pier northern side,SEA,International Maritime Services,Fremantle,Apia
